ts,open,high,low,close,vol
1733583600,99574.78,99894.02,99434.38,99843.67,1380
1733587200,99843.67,99880.41,99572.4,99712.05,846.05
1733590800,99712.05,99823.45,99555.55,99728.99,708.4
1733594400,99728.99,100360.99,99687.78,100232.3,1013.61
1733598000,100232.3,100355.05,100026.96,100169.44,790.08
1733601600,100169.44,100468.17,100169.31,100403.26,650.82
1733605200,100403.26,100530.09,99797.62,99977.59,1007.51
1733608800,99977.59,100150.74,99690.46,99690.5,522.67
1733612400,99690.5,100356.35,99688.69,99926.38,616.59
1733616000,99926.38,100065.1,99732.32,100064.02,733.35
1733619600,100064.02,100216.41,99783.95,99935.6,656.64
1733623200,99935.6,100417.98,99842.99,100229.27,664.03
1733626800,100229.27,100347.64,99990.02,100018.66,609.59
1733630400,100018.66,100107.52,99778.1,99839.05,351.5
1733634000,99839.05,99872.34,99430.99,99605.48,352.3
1733637600,99605.48,99870.48,99424.82,99750.27,164.49
1733641200,99750.27,99929.63,99696.05,99747.14,112.97
1733644800,99747.14,99760.42,99029.68,99050.63,295.18
1733648400,99050.63,99360.03,98730.22,98952.32,620.91
1733652000,98952.32,99463.78,98945.27,99311.64,388.56
1733655600,99311.64,99892.95,99195.28,99762.52,336.13
1733659200,99762.52,100260.71,99530.56,99982.36,1059.79
1733662800,99982.36,100571.19,99872.74,100468.63,1338.96
1733666400,100468.63,100496.2,99797.3,99805.51,982.5
1733670000,99805.51,100025.18,99430,99970.27,1645.49
1733673600,99970.27,100177.13,99783.09,99886.59,1120.03
1733677200,99886.59,100061.54,99682.41,99994.6,880.23
1733680800,99994.6,100060.61,99628.77,99718.26,734.5
1733684400,99718.26,100226.3,99529.51,100136.09,688.77
1733688000,100136.09,100195.25,99847.73,99860.62,817.53
1733691600,99860.62,100120.88,99780.71,100085.78,550.32
1733695200,100085.78,100335.18,99943.96,100297.12,564.98
1733698800,100297.12,101430.6,100159.53,101189.81,2183.05
1733702400,101189.81,101290.02,99402.21,99711.9,3770.8
1733706000,99711.9,99910.35,99467.94,99611.33,1457.08
1733709600,99611.33,99790.66,99067.69,99251,1630.2
1733713200,99251,99416.3,98529,99153.44,1517.9
1733716800,99153.44,99519.64,98859.46,99476.68,738.7
1733720400,99476.68,99590.17,99373.11,99483.53,260.82
1733724000,99483.53,99515.29,98902.48,99111.53,439.78
1733727600,99111.53,99769.59,98376.22,99611.69,1092.13
1733731200,99611.69,99705.71,98825.57,98923.89,782.08
1733734800,98923.89,99111.18,98414.21,98416.56,1055.28
1733738400,98416.56,98759.85,98268.78,98713.17,1594.94
1733742000,98713.17,98713.29,98022.18,98066.46,814.78
1733745600,98066.46,98597.92,97933.01,98571.33,1816.94
1733749200,98571.33,99183.19,98203.13,98978.91,2178.39
1733752800,98978.91,100419.26,98853,100183.34,4048.93
1733756400,100183.34,100453.41,97489.93,97757.1,7443.99
1733760000,97757.1,98353.03,97429.3,97817.22,4170.85
1733763600,97817.22,98210.5,97304.59,97337.46,2578.79
1733767200,97337.46,98263.21,97325.29,97762.2,2831.2
1733770800,97762.2,97764.26,96925.17,97006.16,3858.75
1733774400,97006.16,97280.35,96089.32,96221.34,7498.11
1733778000,96221.34,97577.23,94567.01,96938.02,11359.19
1733781600,96938.02,97406.72,94865.01,97008.45,5886.27
1733785200,97008.45,97562.7,96738.37,97338.34,1155.67
1733788800,97338.34,98177.58,97035.27,97902.11,2770.07
1733792400,97902.11,98109.76,97491.9,97993.33,2187.45
1733796000,97993.33,98006.47,96682.57,96741.96,2488.9
1733799600,96741.96,97002.42,95625.09,96967.34,4390.4
1733803200,96967.34,97170.11,95950.66,97086.14,1567.75
1733806800,97086.14,97103.51,96567.47,96977.39,823.86
1733810400,96977.39,97532.73,96844.21,97492.55,701.99
1733814000,97492.55,97520.24,96936.09,97220,478.61
1733817600,97220,97567.17,96986.84,97431.72,528.87
1733821200,97431.72,97727.79,97263.54,97513.64,688.84
1733824800,97513.64,97901.69,97513.64,97730.44,978.57
1733828400,97730.44,97964.35,97479.05,97770.53,599.51
1733832000,97770.53,97886.63,96896.56,97182.43,2431.7
1733835600,97182.43,97961.72,97162.78,97776.77,2806.41
1733839200,97776.77,98316.66,97171.15,97859.17,4599.79
1733842800,97859.17,98150.97,95668.2,95695.57,5091.05
1733846400,95695.57,96539.37,94561.1,96343.31,8186.23
1733850000,96343.31,96377.78,94423.51,94517.28,8608.12
1733853600,94517.28,95543.37,94284,95138.3,5110.45
1733857200,95138.3,96201.65,94989.02,95884.74,2955.02
1733860800,95884.74,96749.69,95644.41,96480.74,4405.92
1733864400,96480.74,97262.51,96437.2,96908.59,3528.42
1733868000,96908.59,97160.84,96644.34,96918.35,1468.99
1733871600,96918.35,97189.22,96494.31,96657.88,1264.15
1733875200,96657.88,96915.63,95877.98,96476.4,2414.84
1733878800,96476.4,96705.51,95730.76,95820.09,2538.87
