regime,vrp,instrument,premium_$/side/day,concurrent_pairs,L1_hedge_equity,L2_tail_buffer,L3_loss_buffer,total_capital_$,expected_weekly_aggregate_PnL,p05_weekly_aggregate_PnL,weeks_to_burn_30k_at_E[PnL]
calm,0.0,perp_delta_only,800,25,0,6142,0,7985,68133,48691,
calm,0.0,perp_delta_only,800,50,0,8687,0,11293,136266,108771,
calm,0.0,perp_delta_only,800,100,0,12285,0,15971,272533,233648,
calm,0.0,perp_delta_only,800,250,0,19425,0,25252,681333,619851,
calm,0.0,perp_delta_only,800,500,0,27471,0,35712,1362666,1275718,
calm,0.0,perp_delta_only,800,1000,0,38850,0,50505,2725333,2602369,
calm,0.0,perp_delta_only,1000,1,0,0,0,0,5589,1730,
calm,0.0,perp_delta_only,1000,4,0,0,0,0,22356,14639,
calm,0.0,perp_delta_only,1000,8,0,0,0,0,44712,33799,
calm,0.0,perp_delta_only,1000,12,0,0,0,0,67068,53703,
calm,0.0,perp_delta_only,1000,25,0,0,0,0,139725,120434,
calm,0.0,perp_delta_only,1000,50,0,0,0,0,279450,252168,
calm,0.0,perp_delta_only,1000,100,0,0,0,0,558900,520318,
calm,0.0,perp_delta_only,1000,250,0,0,0,0,1397250,1336247,
calm,0.0,perp_delta_only,1000,500,0,0,0,0,2794500,2708229,
calm,0.0,perp_delta_only,1000,1000,0,0,0,0,5589000,5466995,
calm,0.0,perp_delta_only,1500,1,0,0,0,0,12558,8645,
calm,0.0,perp_delta_only,1500,4,0,0,0,0,50234,42409,
calm,0.0,perp_delta_only,1500,8,0,0,0,0,100469,89402,
calm,0.0,perp_delta_only,1500,12,0,0,0,0,150704,137150,
calm,0.0,perp_delta_only,1500,25,0,0,0,0,313966,294403,
calm,0.0,perp_delta_only,1500,50,0,0,0,0,627933,600266,
calm,0.0,perp_delta_only,1500,100,0,0,0,0,1255866,1216739,
calm,0.0,perp_delta_only,1500,250,0,0,0,0,3139666,3077801,
calm,0.0,perp_delta_only,1500,500,0,0,0,0,6279333,6191842,
calm,0.0,perp_delta_only,1500,1000,0,0,0,0,12558666,12434936,
mod,0.0,straddle_30d,250,1,5904,20278,9705,46654,-9705,-14293,3
mod,0.0,straddle_30d,250,4,23618,40556,38820,133894,-38820,-47997,0
mod,0.0,straddle_30d,250,8,47237,57355,77640,236903,-77640,-90619,0
mod,0.0,straddle_30d,250,12,70855,70246,116460,334831,-116460,-132356,0
mod,0.0,straddle_30d,250,25,147616,101391,242625,639124,-242625,-265570,0
mod,0.0,straddle_30d,250,50,295233,143389,485251,1201037,-485251,-517699,0
mod,0.0,straddle_30d,250,100,590466,202783,970503,2292879,-970503,-1016392,0
