regime,DVOL,vrp,premium_per_side_per_day,instrument,E[triggers/7d],E[premium/pair-life],E[payouts/pair-life],E[upfront_hedge],E[PnL/pair-life],p05_PnL/pair-life,p95_PnL/pair-life,P[PnL>0]_estimate
calm,45,0.2,250,strangle_7d,5.0,3500,5017,1621,-1669,-4841,1068,0.18
calm,45,0.2,250,daily_strangle,5.0,3500,5030,261,-2141,-4819,200,0.08
calm,45,0.2,250,perp_delta_only,5.0,3500,5009,0,-1579,-4570,1430,0.20
mod,55,0.2,250,straddle_30d,8.0,3500,7973,5354,-4995,-8961,-1281,0.01
mod,55,0.2,250,strangle_7d,8.0,3500,7981,2152,-4619,-8344,-1122,0.02
mod,55,0.2,250,daily_strangle,8.0,3500,7982,417,-5256,-8602,-2292,0.00
mod,55,0.2,250,perp_delta_only,8.0,3500,7990,0,-4560,-8570,-570,0.03
elev,65,0.2,250,straddle_30d,11.4,3500,11403,6489,-8636,-13074,-4334,0.00
elev,65,0.2,250,strangle_7d,11.4,3500,11415,2691,-8036,-12276,-3694,0.00
elev,65,0.2,250,daily_strangle,11.4,3500,11413,588,-8809,-12718,-5298,0.00
elev,65,0.2,250,perp_delta_only,11.5,3500,11453,0,-8023,-12570,-3570,0.00
stress,80,0.2,250,straddle_30d,17.4,3500,17437,8192,-15086,-20622,-9755,0.00
stress,80,0.2,250,strangle_7d,17.5,3500,17530,3506,-14145,-19566,-8789,0.00
stress,80,0.2,250,daily_strangle,17.5,3500,17456,862,-14960,-19778,-10407,0.00
stress,80,0.2,250,perp_delta_only,17.4,3500,17414,0,-13984,-19570,-8570,0.00
calm,45,0.2,400,straddle_30d,5.0,5600,4953,4222,293,-2911,3058,0.57
calm,45,0.2,400,strangle_7d,5.0,5600,4978,1621,460,-2656,3139,0.60
calm,45,0.2,400,daily_strangle,5.0,5600,4953,261,21,-2567,2359,0.51
calm,45,0.2,400,perp_delta_only,4.9,5600,4946,0,584,-2470,3530,0.63
mod,55,0.2,400,straddle_30d,7.9,5600,7927,5354,-2852,-6812,799,0.11
mod,55,0.2,400,strangle_7d,7.9,5600,7906,2152,-2429,-6302,1076,0.15
mod,55,0.2,400,daily_strangle,7.9,5600,7930,417,-3114,-6351,-133,0.05
mod,55,0.2,400,perp_delta_only,7.9,5600,7927,0,-2397,-6470,1530,0.15
elev,65,0.2,400,straddle_30d,11.3,5600,11318,6489,-6451,-10994,-2271,0.01
elev,65,0.2,400,strangle_7d,11.3,5600,11346,2691,-5877,-10314,-1533,0.01
elev,65,0.2,400,daily_strangle,11.3,5600,11333,588,-6648,-10579,-3091,0.00
elev,65,0.2,400,perp_delta_only,11.3,5600,11309,0,-5779,-10470,-1470,0.02
stress,80,0.2,400,straddle_30d,17.5,5600,17549,8192,-13098,-18643,-7793,0.00
stress,80,0.2,400,strangle_7d,17.5,5600,17535,3506,-12061,-17242,-7003,0.00
stress,80,0.2,400,daily_strangle,17.5,5600,17472,862,-12873,-17789,-8319,0.00
stress,80,0.2,400,perp_delta_only,17.6,5600,17573,0,-12043,-17470,-7470,0.00
calm,45,0.2,600,straddle_30d,5.0,8400,4972,4222,3080,-17,5893,0.96
calm,45,0.2,600,strangle_7d,5.0,8400,4982,1621,3278,260,6009,0.97
calm,45,0.2,600,daily_strangle,5.0,8400,5014,261,2772,116,5132,0.97
calm,45,0.2,600,perp_delta_only,5.0,8400,4991,0,3339,330,6330,0.96
mod,55,0.2,600,straddle_30d,7.9,8400,7919,5354,-39,-4070,3629,0.49
mod,55,0.2,600,strangle_7d,7.9,8400,7917,2152,344,-3415,3797,0.56
mod,55,0.2,600,daily_strangle,7.9,8400,7888,417,-282,-3534,2609,0.44
mod,55,0.2,600,perp_delta_only,7.9,8400,7908,0,422,-3670,4330,0.57
elev,65,0.2,600,straddle_30d,11.3,8400,11316,6489,-3649,-8286,737,0.09
elev,65,0.2,600,strangle_7d,11.4,8400,11398,2691,-3129,-7485,1217,0.12
elev,65,0.2,600,daily_strangle,11.4,8400,11413,588,-3911,-7902,-253,0.05
elev,65,0.2,600,perp_delta_only,11.3,8400,11341,0,-3011,-7670,1330,0.13
stress,80,0.2,600,straddle_30d,17.6,8400,17586,8192,-10361,-16047,-5023,0.00
stress,80,0.2,600,strangle_7d,17.5,8400,17522,3506,-9229,-14818,-4026,0.00
stress,80,0.2,600,daily_strangle,17.6,8400,17583,862,-10169,-15245,-5572,0.00
stress,80,0.2,600,perp_delta_only,17.5,8400,17527,0,-9197,-14670,-3670,0.00
calm,45,0.2,800,straddle_30d,5.0,11200,4990,4222,5867,2756,8666,1.00
calm,45,0.2,800,strangle_7d,5.0,11200,4996,1621,6040,2902,8770,1.00
calm,45,0.2,800,daily_strangle,5.0,11200,4963,261,5614,2900,7971,1.00
calm,45,0.2,800,perp_delta_only,5.0,11200,4987,0,6143,3130,9130,1.00
mod,55,0.2,800,straddle_30d,8.0,11200,7967,5354,2713,-1188,6392,0.88
mod,55,0.2,800,strangle_7d,7.9,11200,7931,2152,3125,-671,6690,0.92
mod,55,0.2,800,daily_strangle,8.0,11200,7975,417,2438,-895,5303,0.90
mod,55,0.2,800,perp_delta_only,8.0,11200,7950,0,3180,-870,7130,0.91
elev,65,0.2,800,straddle_30d,11.4,11200,11405,6489,-922,-5266,3291,0.36
elev,65,0.2,800,strangle_7d,11.4,11200,11397,2691,-327,-4645,3919,0.45
elev,65,0.2,800,daily_strangle,11.4,11200,11397,588,-1104,-4962,2494,0.31
elev,65,0.2,800,perp_delta_only,11.4,11200,11390,0,-260,-4870,4130,0.46
stress,80,0.2,800,straddle_30d,17.6,11200,17573,8192,-7539,-13166,-2183,0.01
stress,80,0.2,800,strangle_7d,17.6,11200,17564,3506,-6478,-11831,-1375,0.02
stress,80,0.2,800,daily_strangle,17.5,11200,17549,862,-7338,-12161,-2688,0.01
stress,80,0.2,800,perp_delta_only,17.5,11200,17548,0,-6418,-11870,-870,0.02
calm,45,0.2,1000,straddle_30d,5.0,14000,4962,4222,8695,5569,11460,1.00
calm,45,0.2,1000,strangle_7d,5.0,14000,4991,1621,8859,5725,11576,1.00
calm,45,0.2,1000,daily_strangle,5.0,14000,4977,261,8401,5872,10716,1.00
calm,45,0.2,1000,perp_delta_only,5.0,14000,4962,0,8968,5930,11930,1.00
mod,55,0.2,1000,straddle_30d,7.9,14000,7905,5354,5585,1595,9284,0.99
mod,55,0.2,1000,strangle_7d,7.9,14000,7904,2152,5960,2172,9495,1.00
mod,55,0.2,1000,daily_strangle,7.9,14000,7920,417,5278,2024,8287,1.00
mod,55,0.2,1000,perp_delta_only,7.9,14000,7907,0,6023,1930,9930,0.99
elev,65,0.2,1000,straddle_30d,11.3,14000,11296,6489,1967,-2455,6203,0.77
elev,65,0.2,1000,strangle_7d,11.3,14000,11284,2691,2593,-1764,6971,0.84
elev,65,0.2,1000,daily_strangle,11.3,14000,11326,588,1754,-2166,5412,0.78
elev,65,0.2,1000,perp_delta_only,11.3,14000,11272,0,2658,-2070,6930,0.84
stress,80,0.2,1000,straddle_30d,17.6,14000,17551,8192,-4711,-10258,569,0.08
stress,80,0.2,1000,strangle_7d,17.5,14000,17491,3506,-3613,-9252,1579,0.13
stress,80,0.2,1000,daily_strangle,17.5,14000,17484,862,-4483,-9434,183,0.06
stress,80,0.2,1000,perp_delta_only,17.5,14000,17528,0,-3598,-9070,1930,0.14
calm,45,0.2,1500,straddle_30d,5.0,21000,5024,4222,15624,12434,18503,1.00
calm,45,0.2,1500,strangle_7d,5.0,21000,5013,1621,15840,12737,18659,1.00
calm,45,0.2,1500,daily_strangle,5.0,21000,5030,261,15357,12648,17726,1.00
calm,45,0.2,1500,perp_delta_only,5.0,21000,5046,0,15884,12930,18930,1.00
mod,55,0.2,1500,straddle_30d,7.9,21000,7866,5354,12606,8716,16232,1.00
mod,55,0.2,1500,strangle_7d,7.9,21000,7874,2152,12971,9289,16402,1.00
mod,55,0.2,1500,daily_strangle,7.9,21000,7854,417,12347,9051,15280,1.00
mod,55,0.2,1500,perp_delta_only,7.9,21000,7885,0,13045,8930,16930,1.00
elev,65,0.2,1500,straddle_30d,11.4,21000,11355,6489,8920,4338,13133,1.00
elev,65,0.2,1500,strangle_7d,11.4,21000,11399,2691,9474,4969,13988,1.00
elev,65,0.2,1500,daily_strangle,11.4,21000,11378,588,8716,4759,12401,1.00
elev,65,0.2,1500,perp_delta_only,11.4,21000,11364,0,9566,4930,13930,1.00
stress,80,0.2,1500,straddle_30d,17.5,21000,17537,8192,2288,-3275,7784,0.75
stress,80,0.2,1500,strangle_7d,17.5,21000,17516,3506,3376,-1944,8481,0.85
stress,80,0.2,1500,daily_strangle,17.5,21000,17529,862,2497,-2314,7099,0.81
stress,80,0.2,1500,perp_delta_only,17.5,21000,17499,0,3431,-2070,8930,0.85
calm,45,0.2,2000,straddle_30d,5.0,28000,4979,4222,22671,19496,25499,1.00
calm,45,0.2,2000,strangle_7d,5.0,28000,4997,1621,22835,19901,25588,1.00
calm,45,0.2,2000,daily_strangle,5.0,28000,5012,261,22371,19822,24721,1.00
calm,45,0.2,2000,perp_delta_only,5.0,28000,4974,0,22956,19930,25930,1.00
mod,55,0.2,2000,straddle_30d,8.0,28000,8010,5354,19477,15628,23241,1.00
mod,55,0.2,2000,strangle_7d,8.0,28000,7967,2152,19898,16233,23437,1.00
mod,55,0.2,2000,daily_strangle,8.0,28000,7954,417,19275,15972,22245,1.00
mod,55,0.2,2000,perp_delta_only,7.9,28000,7948,0,19982,15930,23930,1.00
elev,65,0.2,2000,straddle_30d,11.4,28000,11427,6489,15853,11356,20247,1.00
elev,65,0.2,2000,strangle_7d,11.4,28000,11381,2691,16499,12069,20844,1.00
elev,65,0.2,2000,daily_strangle,11.4,28000,11395,588,15714,11789,19357,1.00
elev,65,0.2,2000,perp_delta_only,11.4,28000,11390,0,16540,11930,20930,1.00
stress,80,0.2,2000,straddle_30d,17.4,28000,17401,8192,9429,3913,14700,1.00
stress,80,0.2,2000,strangle_7d,17.4,28000,17439,3506,10443,4913,15880,1.00
stress,80,0.2,2000,daily_strangle,17.5,28000,17454,862,9532,4561,14121,1.00
stress,80,0.2,2000,perp_delta_only,17.4,28000,17442,0,10488,4930,15930,1.00
